digrp_pavadinimas,data2,dinst_id4,apskritis1,savivaldybe,data1,dinst_id5
Aukštoji mokykla,2003-09-01,49,,,,
Bendrojo ugdymo mokykla,2003-09-01,1652,,,,
Ikimokyklinio ugdymo mokykla,2003-09-01,5,,,,
Kitas švietimo teikėjas,2003-09-01,-,,,,
Kompetencijų vertinimo institucija,2003-09-01,-,,,,
Mokslinių tyrimų institutas,2003-09-01,-,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2003-09-01,-,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2003-09-01,826,,,,
Profesinio mokymo įstaiga,2003-09-01,90,,,,
Švietimo pagalbos įstaiga,2003-09-01,-,,,,
Aukštoji mokykla,2004-09-01,51,,,,
Bendrojo ugdymo mokykla,2004-09-01,1889,,,,
Ikimokyklinio ugdymo mokykla,2004-09-01,5,,,,
Kitas švietimo teikėjas,2004-09-01,-,,,,
Kompetencijų vertinimo institucija,2004-09-01,-,,,,
Mokslinių tyrimų institutas,2004-09-01,-,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2004-09-01,-,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2004-09-01,978,,,,
Profesinio mokymo įstaiga,2004-09-01,79,,,,
Švietimo pagalbos įstaiga,2004-09-01,-,,,,
Aukštoji mokykla,2005-09-01,50,,,,
Bendrojo ugdymo mokykla,2005-09-01,1615,,,,
Ikimokyklinio ugdymo mokykla,2005-09-01,5,,,,
Kitas švietimo teikėjas,2005-09-01,-,,,,
Kompetencijų vertinimo institucija,2005-09-01,-,,,,
Mokslinių tyrimų institutas,2005-09-01,-,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2005-09-01,-,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2005-09-01,962,,,,
Profesinio mokymo įstaiga,2005-09-01,83,,,,
Švietimo pagalbos įstaiga,2005-09-01,-,,,,
Aukštoji mokykla,2006-09-01,52,,,,
Bendrojo ugdymo mokykla,2006-09-01,1504,,,,
Ikimokyklinio ugdymo mokykla,2006-09-01,5,,,,
Kitas švietimo teikėjas,2006-09-01,-,,,,
Kompetencijų vertinimo institucija,2006-09-01,-,,,,
Mokslinių tyrimų institutas,2006-09-01,-,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2006-09-01,-,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2006-09-01,910,,,,
Profesinio mokymo įstaiga,2006-09-01,88,,,,
Švietimo pagalbos įstaiga,2006-09-01,75,,,,
Aukštoji mokykla,2007-09-01,52,,,,
Bendrojo ugdymo mokykla,2007-09-01,1470,,,,
Ikimokyklinio ugdymo mokykla,2007-09-01,5,,,,
Kitas švietimo teikėjas,2007-09-01,-,,,,
Kompetencijų vertinimo institucija,2007-09-01,-,,,,
Mokslinių tyrimų institutas,2007-09-01,-,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2007-09-01,-,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2007-09-01,903,,,,
Profesinio mokymo įstaiga,2007-09-01,91,,,,
Švietimo pagalbos įstaiga,2007-09-01,79,,,,
Aukštoji mokykla,2008-09-01,52,,,,
Bendrojo ugdymo mokykla,2008-09-01,1409,,,,
Ikimokyklinio ugdymo mokykla,2008-09-01,5,,,,
Kitas švietimo teikėjas,2008-09-01,-,,,,
Kompetencijų vertinimo institucija,2008-09-01,-,,,,
Mokslinių tyrimų institutas,2008-09-01,-,,,,
